,line_text
317,ok sorry sorry ruin butchering could let chris rock every time every time black people want good time ignant as bleep take care kid
318,bleep always want credit something supposed
319,chris rock want cookie
320,excuse sorry take hero
321,hero kill people people wish harm
322,hero part human part supernatural hero born childhood trauma disaster must avenged
323,hero heart
324,clear throat think sign
325,well ok say learned something knew stuff already know could sign something say taught something helped teach something pam pam could change something
326,sure
327,thing office think advanced term racial awareness probably advanced used probably throwing little bit
328,ok well know told several time
329,ok
330,well thinking actually cared diversity training
331,
332,yeah yeah
333,regret action regret offending coworkers pledge bring best spirit honesty empathy respect open mindedness open mindedness even word workplace way truly hero signed daffy duck laughing going lose read
334,yeah hi mr decker around oh well could call lunch thank
335,pledge always keep open mind open heart believe part pledge read pledge come mean girl scout look guy mr brown got u halfway got u talking well got u talking got u nothing insulted u abandoned u call diversity training connection u anyone look eye emotion going heart see heart oprah moment ok get much done lunch afterward going tear
336,right everybody pretty come go time let good
337,hey going sit circle indian style laughing
338,get
339,sorry
340,joke ok offensive lame double offensive environment welcoming get hell ok let go let come let fun everybody go take seat cop squat um thanks coming um diversity cornerstone progress always said take word let take look tape
341,tape hi michael scott charge dunder mifflin paper product scranton pennsylvania also founder diversity tomorrow today almost abraham lincoln said racist attack north principle carry workplace
342,ok question comment anybody jim
343,uh
344,yes hour put together going add later
345,kind hard hear
346,uh yes probably something camera work anybody else um
347,yeah well leave two left yes enjoy absolutely namaste ok well since leading let get business kind introduce ok um michael part english irish german scottish sort virtual united nation might know also part native american indian
348,part native american
349,two fifteenth
350,two fifteenth fraction make sense
351,well know kind hard talk suffering else let get popping come going going let go oscar right
352,ok michael um parent born mexico
353,oh yeah
354,uh moved united sates year born grew united state
355,wow
356,parent mexican
357,wow great story american dream right right
358,thank yeah
359,um let ask term besides mexican prefer something le offensive
360,mexican offensive
361,well certain connotation
362,like
363,like know
364,connotation michael meant something
365,remember honesty
366,curious
367,empathy respect phone ringing jim jim
368,hello hello
369,something want take card put fore look card want take card put forehead take card take card card um want treat people like race forehead ok everybody different race nobody know race want really go cause real know exercise real life dream really let spark fly get er done
370,martin luther king hero mine great chris rock bit street named martin luther king tend violent going
371,oh good one
372,um hi
373,fine
374,great
375,push
376,admire culture success america
377,thank
378,good bom bom bom bom bom come olympics suffering right slavery versus holocaust come
379,supposed
380,inadvertent actually plan
381,lot culture eat rice help
382,um shalom like apply loan
383,nice dwight
384,ok something stereotypical get really quick
385,ok like food
386,outback steakhouse australian accent australian mate
387,pam come like food come stir pot stir melting pot pam let let get ugly let get real
388,ok based stereotype totally untrue agree would maybe good driver
389,oh man woman
390,notice anybody arab thought would explosive pun intended though soon arab maybe next year um know ball court
391,watching
392,chappelle show
393,really
394,downloaded computer hope mind lot extra space
395,way think like stuff
396,great cute huh
397,yeah know engaged
398,oh girl sketch
399,oh yeah hot
400,hey
401,hey
402,wanna go beach
403,sure
404,wanna get high
405,
406,think mon
407,stop
408,ok right good need push need go little bit right ok
409,voice raised indian accent kelly
410,oh welcome convenience store would like googi googi delicious googi googi cent plus tax try googi googi lowering voice try googi googi high pitched voice try googi googi try slap
411,trying cry right right yes great get know like minority
412,phone mr decker lose sale today excellent ok let get close last time need oh w code given oh ok actually another salesman redo want oh gave discount blame
413,hated guy mr brown real name mean never met u telling u thing wanted wanted way know man gotten food
414,itialian accent maybe spagh etti
415,okay kevin take thing ok would really really shown brought burrito colored green pad thai love pad thai
416,collard green
417,
418,collard green
419,really make sense call collared people offensive hmmm ok well five thank much buena vista oscar thank good job oh man thank brazil nice
420,pam asleep resting head jim shoulder um hey
421,stir mmmm
422,hey
423,oh
424,go
425,sorry
426,fine
427,uh bad day
428,yeah would like see u erase year racism hour
429,country
430,yeah like
431,salesman okay think prime sale hour prove diversity going help sale go elephant running james earl jones really spec
432,think hero cute empty know easy dwight know came term could put board first one inclusion new attitude color blind
433,expectation
434,thank sharing
435,tolerance
436,um spell incest
437,well ideal give credit cause made word
438,give number reason actually okay first incest bad racism bad brainer right two incest family right brother sister racial message um number three fact state lot racism state lot incest okay finally
439,wait final one final one important encourage interracial dating society away get incest literally
440,would easy spell insect course made sense either
441,something
442,um well grew scranton kid guy lived next door former baseball player actually played pro ball league integrated incredible story
443,okay sorry sorry guy temp told
444,yeah seriously uh know member full staff uh ryan wanna step outside
445,want
446,well maybe go parking lot know yes go parking lot check se guest parked handicapped spot cool cause handicap get raw deal oh know tie right new attitude new attitude handicap people important
447,yeah um good thing michael uh uh yeah definitely um
448,way truly hero signed daffy duck laughing going lose read doh hogan hogan get col burkhalter phone laughing kind hogan around kind jan kind col burkhalter dwight schultz oh god fun fun cause gonna pissed making voice doubt
449,
450,freecell
451,solitaire one player game two player
452,well mean
453,win rate
454,seventy six percent
455,allowed play two player need start
456,fine
457,going dwight put four finger front camera start countdown say action ready
458,dunder mifflin michael scott diversity tomorrow take four action
459,mumbling turn
460,diversity tomorrow take five action
